Name,Manufacturer,Availability,Quantity,Price,Images_link
Fair And Handsome 100% Oil Clear Face Wash 50 Gm,Emami,TRUE,20,70,['https://cdn01.pharmeasy.in/dam/products_otc/I05663/fair-and-handsome-100-oil-clear-face-wash-50-gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Fair And Handsome 100% Oil Clear Facewash 100 Gm,Emami,TRUE,20,145,['https://cdn01.pharmeasy.in/dam/products_otc/I05662/fair-and-handsome-100-oil-clear-facewash-100-gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Friends Easy Adult Diapers Medium - (taped Diaper) - 10's,Friends,TRUE,20,500,['https://cdn01.pharmeasy.in/dam/products_otc/080200/friends-easy-adult-diapers-medium-taped-diaper-10s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Garlic Pearls - Natural Way To Heathy Heart & Digestion - 100s,Garlic Pearls,TRUE,20,115,['https://cdn01.pharmeasy.in/dam/products_otc/081970/garlic-pearls-natural-way-to-heathy-heart-digestion-100s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Crme Hair Color, Shade 1 Natural Black - 70ml + 60g",Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/W46332/garnier-color-naturals-crme-hair-color-shade-1-natural-black-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Crme Hair Color, Shade 3 Darkest Brown - 70ml + 60g",Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/T23675/garnier-color-naturals-crme-hair-color-shade-3-darkest-brown-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Crme Hair Color, Shade 3.16 Burgundy - 70ml + 60g",Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/K72442/garnier-color-naturals-crme-hair-color-shade-316-burgundy-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Crme Hair Color, Shade 4 Brown - 70ml + 60g",Garnier,TRUE,20,180,['https://cdn01.pharmeasy.in/dam/products_otc/S49162/garnier-color-naturals-crme-hair-color-shade-4-brown-70ml-60g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Hair Color For Men, Shade 1, Natural Black - 67.5gm",Garnier,TRUE,20,115,['https://cdn01.pharmeasy.in/dam/products_otc/P37723/garnier-color-naturals-hair-color-for-men-shade-1-natural-black-675gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Garnier Color Naturals Hair Color For Men, Shade 3, Darkest Brown - 67.5gm",Garnier,TRUE,20,115,['https://cdn01.pharmeasy.in/dam/products_otc/V62674/garnier-color-naturals-hair-color-for-men-shade-3-darkest-brown-675gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Crepe Bandage - (8cm X 4m),Hansaplast,TRUE,20,230,['https://cdn01.pharmeasy.in/dam/products_otc/W61955/hansaplast-crepe-bandage-8cm-x-4m-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Fixation Tape - (2.5cm X 9.14m),Hansaplast,TRUE,20,76,['https://cdn01.pharmeasy.in/dam/products_otc/O22179/hansaplast-fixation-tape-25cm-x-914m-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Fixation Tape - (5cm X 9.14m),Hansaplast,TRUE,20,152,['https://cdn01.pharmeasy.in/dam/products_otc/D33314/hansaplast-fixation-tape-5cm-x-914m-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Fixation Tape - (7.5cm X 9.14m),Hansaplast,TRUE,20,228,['https://cdn01.pharmeasy.in/dam/products_otc/A01900/hansaplast-fixation-tape-75cm-x-914m-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Jumbo - 2s,Hansaplast,TRUE,20,20,['https://cdn01.pharmeasy.in/dam/products_otc/J88298/hansaplast-jumbo-2s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Lion Belladona Plaster - (10 Plasters),Hansaplast,TRUE,20,150,['https://cdn01.pharmeasy.in/dam/products_otc/I47474/hansaplast-lion-belladona-plaster-10-plasters-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Lion Heat Plaster - (4 Plasters),Hansaplast,TRUE,20,30,['https://cdn01.pharmeasy.in/dam/products_otc/I36106/hansaplast-lion-heat-plaster-4-plasters-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Silverhealing Washproof - ( 10 Strips),Hansaplast,TRUE,20,30,['https://cdn01.pharmeasy.in/dam/products_otc/I47502/hansaplast-silverhealing-washproof-10-strips-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Hansaplast Washproof - (8 Strips),Hansaplast,TRUE,20,20,['https://cdn01.pharmeasy.in/dam/products_otc/I47491/hansaplast-washproof-8-strips-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Healthvit Activated Charcoal Facewash - 100g,Healthvit,TRUE,20,200,['https://cdn01.pharmeasy.in/dam/products_otc/C17159/healthvit-activated-charcoal-facewash-100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
